,en,pt
CONTINUE_KS,Continue,Continuar
EMAIL_KS,Email,Email
PASSW_KS,Password,Senha
FORGET_PASSW_KS,Forget password?,Esqueceu a senha?
NAME_KS,Name,Nome
SURNAME_KS,Surname,Sobrenome
REPASSW_KS,Password (Again),Senha (Novamente)
EXIT_KS,Exit,Sair
REGEN_KS,Generate new code,Gerar novo código
CODE_KS,Verification code,Código de verificação
CONFIRM_KS,Confirm,Confirmar
CANCEL_KS,Cancel,Cancelar
RECEIVER_EMAIL_KS,Receiver email,Email do receptor
YES_KS,Yes,Sim
NO_KS,No,Não
REFUSED_KS,The Receiver refused delivery!,O Receptor recusou a entrega!
DLVR_REQ_MEM_KS,wants to deliver something to you! Accept?,quer entregar algo a você! Aceitar? 
TRACKING_KS,Tracking,Rastreando
SEND_KS,Send,Enviar
FINISH_KS,Finish,Finalizar
AR_KS,Show this AR-Tag to the robot to open the box,Mostre este AR-Tag para o robô para abrir a caixa
DEBUG_OPEN_KS,<DEBUG> OPEN BOX,<DEBUG> ABRIR CAIXA
DEBUG_CLOSE_KS,<DEBUG> CLOSE BOX, <DEBUG> FECHAR CAIXA
DEBUG_FINISH_KS,END,FIM
